"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"MX12,MX6,MX15,MX31,MX27,MX5,MX11,MX29,MX16,MX2,MX10,MX30,MX34,MX3,MX21,MX20,MX7,MX32,MX13,MX35,MX33,MX25,MX14,MX1,MX8,MX37,MX28,MX9,MX23,MX36,MX17,MX18,MX4,MX24,MX22,MX26";"Kailh_socket_PG1350";36;"MX-NoLED";;;
2;"MX19,MX38";"SW_PUSH_6mm";2;"MX-NoLED";;;
3;"D36,D8,D25,D27,D12,D1,D6,D9,D24,D38,D35,D20,D28,D19,D13,D23,D3,D17,D15,D34,D32,D18,D4,D21,D29,D16,D33,D30,D7,D37,D11,D2,D26,D22,D5,D10,D14,D31";"D_SOD-123";38;"D_Small";;;
4;"J2,J1";"JST_PH_S2B-PH-K_1x02_P2.00mm_Horizontal";2;"Conn_01x02";;;
5;"C6,C3";"CP_EIA-3216-18_Kemet-A";2;"C_Polarized_US";;;
6;"C5,C2,C4,C1";"C_0805_2012Metric";4;"C";;;
7;"U1,U3";"PQFN80P500X300X100-14N";2;"ADXL345";;;
8;"U2,U4";"XIAO-nRF52840-Sense-14P-2.54-21X17.8MM";2;"Seeed Studio XIAO nRF52840";;;
9;"R3,R2,R1,R4";"R_0805_2012Metric";4;"R";;;
